143,2-64,给,gei3,to; for; for the benefit of; to give; to allow; to do sth (for sb); (passive particle),,
144,3-144,跟,gen1,heel; to follow closely; to go with; to marry sb (of woman); with; towards; as (compared to); from (different from); and (in addition to),,
145,3-145,根据,gen1 ju4,according to; based on; basis; foundation; CL:個|个[ge4],,
146,3-146,更,geng1,to change or replace; to experience; one of the five two hour periods into which the night was formerly divided; watch (eg of a sentry or guard),,
147,2-65,公共汽车,gong1 gong4 qi4 che1,"bus; CL:輛|辆[liang4],班[ban1]",,
148,2-66,公斤,gong1 jin1,kilogram (kg),,
149,2-67,公司,gong1 si1,(business) company; company; firm; corporation; incorporated; CL:家[jia1],,
150,3-150,公园,gong1 yuan2,public park; CL:場|场[chang3],,
151,1-33,工作,gong1 zuo4,"job; work; construction; task; CL:個|个[ge4],份[fen4],項|项[xiang4]",,
152,1-34,狗,gou3,"dog; CL:隻|只[zhi1],條|条[tiao2]",,
153,3-153,故事,gu4 shi4,old practice; CL:個|个[ge4],,
154,3-154,刮风,gua1 feng1,to be windy,,
155,3-155,关,guan1,mountain pass; to close; to shut; to turn off; to concern; to involve,,
156,3-156,关系,guan1 xi4,relation; relationship; to concern; to affect; to have to do with; guanxi; CL:個|个[ge4],,
157,3-157,关心,guan1 xin1,to care for sth; caring; concerned,,
158,3-158,关于,guan1 yu2,pertaining to; concerning; regarding; with regards to; about; a matter of,,
159,2-70,贵,gui4,expensive; noble; your (name); precious,,
160,3-160,国家,guo2 jia1,country; nation; state; CL:個|个[ge4],,
161,3-161,果汁,guo3 zhi1,fruit juice,,
162,3-162,过去,guo4 qu5,(in the) past; former; previous; to go over; to pass by,,
163,2-71,过,guo4,(experienced action marker); to cross; to go over; to pass (time); to celebrate (a holiday); to live; to get along; excessively; too-; surname Guo,,
164,2-72,还,hai2,still; still in progress; still more; yet; even more; in addition; fairly; passably (good); as early as; even; also; else,,
165,3-165,还是,hai2 shi4,or; still; nevertheless,,
166,2-73,孩子,hai2 zi5,child,,
167,3-167,害怕,hai4 pa4,to be afraid; to be scared,,
168,1-35,汉语,Han4 yu3,Chinese language; CL:門|门[men2],,
169,1-36,好,hao3,good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness),,
170,2-76,好吃,hao3 chi1,tasty; delicious,,
171,2-77,号,hao4,day of a month; (suffix used after) name of a ship; (ordinal) number,,
172,1-37,喝,he1,to drink; to shout (a command); My goodness!,,
173,1-38,和,he2,and; together with; with; sum; union; peace; harmony; surname He; Japanese related; Taiwan pr.  han4,,
174,3-174,河,he2,"river; CL:條|条[tiao2],道[dao4]",,
175,2-80,黑,hei1,black; dark; abbr. for Heilongjiang 黑龍江|黑龙江 province in northeast China,,
176,3-176,黑板,hei1 ban3,"blackboard; CL:塊|块[kuai4],個|个[ge4]",,
177,1-39,很,hen3,(adverb of degree); quite; very; awfully,,
178,2-82,红,hong2,bonus; popular; red; revolutionary,,
179,1-40,后面,hou4 mian5,rear; back; behind; later; afterwards,,
180,3-180,护照,hu4 zhao4,"passport; CL:本[ben3],個|个[ge4]",,
181,3-181,花,hua1,"flower; blossom; fancy pattern; CL:朵[duo3],支[zhi1],束[shu4],把[ba3],盆[pen2],簇[cu4]; to spend (money, time); surname Hua",,
182,3-182,花园,hua1 yuan2,"garden; CL:座[zuo4],個|个[ge4]",,
183,3-183,画,hua4,"to draw; picture; painting; CL:幅[fu2],張|张[zhang1]",,
184,3-184,坏,huai4,bad; spoiled; broken; to break down,,
185,2-84,欢迎,huan1 ying2,to welcome; welcome,,
186,3-186,还,huan3,to pay back; to return; surname Huan,,
187,3-187,环境,huan2 jing4,environment; circumstances; surroundings; CL:個|个[ge4]; ambient,,
188,3-188,换,huan4,change; exchange,,
189,3-189,黄,huang2,yellow; pornographic; to fall through,,
190,1-41,回,hui2,to circle; to go back; to turn around; to answer; to return; to revolve; Hui ethnic group (Chinese Muslims); time; classifier for acts of a play; section or chapter (of a classic book),,
191,2-86,回答,hui2 da2,to reply; to answer; the answer; CL:個|个[ge4],,
192,1-42,会,hui4,can; be possible; be able to; will; be likely to; be sure to; to assemble; to meet; to gather; to see; union; group; association; CL:個|个[ge4]; a moment (Taiwan pr. for this sense is hui3),,
193,3-193,会议,hui4 yi4,"meeting; conference; CL:場|场[chang3],屆|届[jie4]",,
194,1-43,火车站,huo3 che1 zhan4,train station,,
195,3-195,或者,huo4 zhe3,or; possibly; maybe; perhaps,,
196,2-89,机场,ji1 chang3,"airport; airfield; CL:家[jia1],處|处[chu4]",,
