扯,手止
绩,糸责
畸,田奇
箕,竹其
稽,禾尤旨
激,水敫
亼,亼
及,人又
吉,士口
级,糸及
即,皀卩
极,木及
急,刍心
疾,疒矢
棘,朿
集,隹木
嫉,女疾
辑,车咠
籍,竹耒昔
几,几
己,己
挤,手齐
脊,月
彐,彐
计,言十
记,言己
纪,糸己
妓,女支
忌,己心
技,手支
际,阜示
剂,齐刀
季,禾子
既,皀欠
济,水齐
继,糸米
寂,宀叔
寄,宀奇
祭,月又示
鲫,鱼即
冀,北異
加,力口
夹,大
佳,人圭
枷,木加
家,宀豕
嘉,壴加
荚,艹夹
颊,夹页
甲,甲
叚,尸二又
贾,西贝
钾,金甲
价,人介
驾,加马
架,加木
假,人叚
嫁,女家
稼,禾家
戋,戈
奸,女干
尖,小大
坚,臤土
歼,歹千
间,门日
肩,户月
艰,又艮
兼,又禾
监,臥皿
煎,前火
拣,手东
俭,人佥
柬,束八
茧,艹虫
捡,手佥
减,冫咸
剪,前刀
检,木佥
简,竹间
碱,石咸
见,冂儿
件,人牛
建,廴聿
剑,佥刀
荐,艹存
贱,贝戋
健,人建
涧,水间
舰,舟见
渐,水斩
溅,水贱
践,足戋
鉴,臥金
键,金建
箭,竹前
江,水工
姜,羊女
将,片夕寸
浆,将水
僵,人畺
缰,糸畺
疆,弓土畺
讲,言井
奖,将大
桨,将木
蒋,艹将
匠,匚斤
夅,夅
降,阜夅
畺,一田
酱,将酉
芁,艹冖
交,交
郊,交邑
娇,女乔
浇,水尧
骄,马乔
胶,月交
椒,木叔
焦,隹火
蕉,艹焦
礁,石焦
角,角
侥,人尧
狡,犬交
绞,糸交
饺,食交
矫,矢乔
脚,月却
搅,手觉
剿,巢刀
敫,白放
缴,糸敫
叫,口丩
轿,车乔
较,车交
教,孝攵
窖,穴告
酵,酉孝
阶,阜介
皆,比白
接,手妾
秸,禾吉
揭,手曷
街,行圭
卩,卩
节,艹卩
劫,去力
杰,木火
疌,走又
洁,水吉
结,糸吉
捷,手疌
截,隹烖
竭,立曷
她,女也
姐,女且
解,角刀牛
介,人八
戒,戈廾
芥,艹介
届,尸由
界,田介
诫,言戒
借,人昔
巾,巾
今,亼一
斤,斤
金,亼土
津,水聿
筋,竹肋
襟,衣禁
仅,人又
紧,臤糸
堇,廿中王
谨,言堇
锦,金帛
尽,尺冫
劲,巠力
近,辶斤
进,辶井
晋,亚日
浸,水唚
禁,林示
巠,巠
京,京
经,糸巠
茎,艹巠
荆,艹刑
惊,心京
晶,日
睛,目青
兢,克
精,米青
鲸,鱼京
井,井
阱,阜井
宑,宀丰八
颈,巠页
景,日京
警,敬言
净,冫争
径,彳巠
竞,立兄
竟,音儿
敬,苟攵
靖,立青
境,土竟
静,青争
镜,金竟
冂,冂
冏,冂八口
窘,穴君
丩,丩
纠,糸丩
究,穴九
鸠,九鸟
揪,手秋
九,九
久,人
灸,久火
玖,王久
韭,韭
酒,水酉
旧,一日
臼,臼
疚,疒久
救,求攵
就,京尤
舅,臼男
匊,米勹
居,尸古
拘,手句
驹,马句
鞠,革匊
局,尺口
菊,艹匊
橘,木矛冏
沮,水且
举,兴手
矩,矢巨
句,勹口
巨,工匚
拒,手巨
具,目廾
炬,火巨
俱,人具
剧,居刀
惧,心具
据,手居
距,足巨
锯,金居
聚,取人
捐,手肙
鹃,肙鸟
卷,半卩
倦,人卷
绢,糸肙
隽,隹乃
眷,半目
决,冫夬
诀,言夬
绝,糸色
觉,冖见
倔,人屈
掘,手屈
爵,爵
嚼,口爵
军,冖车
君,尹口
均,土匀
钧,金匀
菌,艹口禾
俊,人夋
峻,山夋
骏,马夋
竣,立夋
咖,口加
卡,上下
开,廾
揩,手皆
凯,岂几
慨,心既
楷,木皆
刊,干刀
勘,甚力
堪,土甚
坎,土欠
砍,石欠
看,手目
康,广隶
慷,心康
糠,米康
扛,手工
亢,亢
抗,手亢
炕,火亢
丂,丂
考,耂丂
拷,手考
烤,火考
铐,金考
靠,告非
坷,土可
苛,艹可
科,禾斗
棵,木果
颗,果页
磕,石去皿
蝌,虫科
壳,士冖几
咳,口亥
可,丂口
渴,水曷
克,古儿
刻,亥刀
客,宀各
课,言果
肯,止月
垦,艮土
恳,艮心
啃,口肯
吭,口亢
坑,土亢
空,穴工
孔,子乚
恐,巩心
控,手空
抠,手区
口,口
扣,手口
寇,完攵
枯,木古
哭,口犬
窟,穴屈
苦,艹古
库,广车
裤,衣库
酷,酉告
夸,大亏
垮,土夸
挎,手夸
胯,月夸
跨,足夸
块,土夬
快,心夬
筷,竹快
宽,宀艹见
款,士示欠
匡,匚王
筐,竹匡
狂,犬王
况,冫兄
旷,日广
矿,石广
框,木匡
眶,目匡
亏,一丂
盔,灰皿
窥,穴规
葵,艹癸
魁,鬼斗
傀,人鬼
愧,心鬼
溃,水贵
坤,土申
昆,日比
捆,手困
困,囗木
扩,手广
括,手舌
阔,门活
廓,广郭
垃,土立
拉,手立
啦,口拉
喇,口剌
剌,束刀
腊,月昔
蜡,虫昔
辣,辛束
来,来
莱,艹来
赖,束负
癞,疒赖
兰,八三
拦,手兰
栏,木兰
蓝,艹监
澜,水门柬
篮,竹监
览,竹见
揽,手览
缆,糸览
榄,木览
懒,心赖
烂,火兰
滥,水监
郎,良阜
狼,犬良
廊,广郎
琅,王良
榔,木郎
朗,良月
浪,水良
捞,手劳
劳,芁力
牢,宀牛
唠,口劳
耂,耂
老,耂匕
姥,女老
潦,水尞
涝,水劳
烙,火各
酪,酉各
乐,木
勒,革力
雷,雨田
耒,木
垒,厶土
蕾,艹雷
儡,人田
肋,月力
泪,水目
类,米大
累,田糸
擂,手雷
棱,木夌
楞,木网方
冷,冫令
厘,厂里
梨,利木
狸,犬里
离,离
莉,艹利
犁,利牛
漓,水离
璃,王离
黎,黍勹
篱,竹离
礼,示乚
李,木子
里,田土
哩,口里
理,王里
鲤,鱼里
力,力
历,厂力
厉,厂万
立,立
吏,一史
丽,冂一
利,禾刀
励,厉力
沥,水历
例,人列
隶,又水
俐,人利
荔,艹力
栗,西木
砾,石乐
粒,米立
痢,疒利
雳,雨历
俩,人两
连,辶车
帘,穴巾
怜,心令
莲,艹连
联,耳关
廉,广兼
镰,金廉
敛,佥攵
脸,月佥
练,糸东
炼,火东
恋,亦心
链,金连
良,良
凉,冫京
梁,水刃木
粮,米良
粱,水刃米
两,两
亮,高几
谅,言京
辆,车两
晾,日京
量,旦里
辽,辶了
疗,疒了
聊,耳卯
僚,人尞
寥,宀翏
嘹,口尞
撩,手尞
缭,糸尞
燎,火尞
镣,金尞
了,了
料,米斗
尞,火日小
瞭,目尞
咧,口列
列,歹刀
劣,少力
烈,列火
猎,犬昔
裂,列衣
邻,令邑
林,木
临,臥口
淋,水林
琳,王林
粦,米夅
磷,石粦
鳞,鱼粦
凛,冫禀
檩,木禀
吝,文口
赁,任贝
蔺,艹门隹
躏,足蔺
伶,人令
灵,彐火
夌,土八夂
岭,山令
玲,王令
凌,冫夌
铃,金令
陵,阜夌
翎,令羽
菱,艹夌
蛉,虫令
零,雨令
龄,齿令
领,令页
令,亼厶
另,口力
溜,水留
刘,文刀
流,水旈
留,卯田
旈,子川
琉,王旈
硫,石旈
馏,食留
榴,木留
瘤,疒留
柳,木卯
六,入八
翏,羽昣
龙,龙
咙,口龙
胧,月龙
笼,竹龙
聋,龙耳
隆,阜夂生
窿,穴隆
垄,龙土
拢,手龙
娄,米女
楼,木娄
搂,手娄
篓,竹娄
陋,阜丙
漏,水尸雨
露,雨路
卢,卜尸
庐,广户
芦,艹户
炉,火户
颅,卢页
卤,卤
虏,虍力
鲁,鱼日
陆,阜击
录,录
赂,贝各
鹿,鹿
滤,水虑
碌,石录
路,足各
驴,马户
吕,口
侣,人吕
旅,於从
铝,金吕
屡,尸娄
缕,糸娄
履,尸彳复
律,彳聿
虑,虍心
率,玄十
绿,糸录
氯,气录
峦,亦山
卵,卵
乱,舌乚
掠,手京
略,田各
抡,手仑
仑,人匕
伦,人仑
沦,水仑
轮,车仑
论,言仑
罗,网夕
啰,口罗
萝,艹罗
逻,辶罗
锣,金罗
箩,竹罗
骡,马累
螺,虫累
裸,衣果
洛,水各
络,糸各
骆,马各
落,艹洛
妈,女马
麻,广林
蟆,虫莫
马,马
玛,王马
码,石马
蚂,虫马
骂,口马
吗,口马
埋,土里
买,头
迈,辶万
麦,来夂
卖,十买
脉,月永
蛮,亦虫
馒,食曼
瞒,目艹两
满,水艹两
曼,冃网又
幔,巾曼
慢,心曼
漫,水曼
蔓,艹曼
忙,心亡
芒,艹亡
盲,亡目
茫,艹水亡
莽,艹犬
猫,犬苗
毛,毛
矛,矛
茅,艹矛
锚,金苗
卯,卯
铆,金卯
冃,冃
茂,艹戊
冒,冃目
贸,卯贝
帽,巾冒
貌,豸白儿
么,厶
没,水殳
枚,木攵
玫,王攵
眉,尸目
梅,木每
媒,女某
楣,木眉
煤,火某
霉,雨每
每,人母
美,羊大
妹,女未
昧,日未
媚,女眉
门,门
闷,门心
们,人门
氓,亡民
萌,艹明
盟,明皿
朦,月蒙
檬,木蒙
猛,犬孟
蒙,芁豕
锰,金孟
孟,子皿
梦,林夕
咪,口米
弥,弓尔
迷,辶米
谜,言迷
糜,麻米
靡,麻非
米,米
眯,目米
冖,冖
糸,糸
泌,水必
觅,爪见
秘,禾必
密,宀必山
蜜,宀必虫
宀,宀
眠,目民
绵,糸帛
棉,木帛
免,免
黾,黾
勉,免力
娩,女免
冕,冃免
缅,糸面
面,囗自
苗,艹田
描,手苗
瞄,目苗
眇,目少
秒,禾少
渺,水眇
藐,艹貌
妙,女少
庙,广由
灭,一火
蔑,艹网戍
民,民
皿,皿
闽,门虫
悯,心门文
敏,每攵
名,夕口
明,日月
鸣,口鸟
冥,冖日六
铭,金名
螟,虫冥
命,亼口卩
谬,言翏
摸,手莫
馍,食莫
摹,莫手
模,木莫
膜,月莫
摩,麻手
磨,麻石
蘑,艹磨
魔,麻鬼
抹,手末
末,木一
沫,水末
茉,艹末
陌,阜百
莫,艹日大
寞,宀莫
漠,水莫
墨,黑土
默,黑犬
谋,言某
某,甘木
母,母
亩,十田
牡,牛土
姆,女母
拇,手母
木,木
目,目
沐,水木
牧,牛攵
募,莫力
墓,莫土
幕,莫巾
睦,目土八
慕,莫心
暮,莫日
穆,禾帛彡
拿,合手
哪,口那
内,冂人
那,冄邑
纳,糸内
娜,女那
钠,金内
捺,手奈
乃,乃
奶,女乃
奈,大示
耐,而寸
男,田力
南,十半冂
难,又隹
囊,冖中襄
挠,手尧
恼,心囟
脑,月囟
闹,门市
疒,疒
呐,口内
呢,口尼
馁,食妥
嫩,女束攵
能,能
尼,尸匕
泥,水尼
你,人尔
拟,手以
屰,干屮
昵,日尼
逆,辶屰
匿,匚若
溺,水弱
腻,月贰
年,人
捻,手念
辇,夫车
撵,手辇
碾,石展
廿,十
念,今心
娘,女良
酿,酉良
鸟,鸟
尿,尸水
捏,手日土
聂,耳双
镊,金聂
孽,薛子
您,你心
宁,宀丁
拧,手宁
狞,犬宁
柠,木宁
凝,冫疑
泞,水宁
牛,牛
扭,手丑
纽,糸丑
钮,金丑
农,冖衣
浓,水农
脓,月农
弄,王廾
奴,女又
努,奴力
怒,奴心
女,女
疟,疒又
虐,虍又
暖,日爰
挪,手那
诺,言若
懦,心需
糯,米需
欧,区欠
殴,区殳
鸥,区鸟
呕,口区
偶,人禺
耦,耒禺
藕,艹耦
趴,足八
爬,爪巴
耙,耒巴
帕,巾白
怕,心白
拍,手白
徘,彳非
排,手非
牌,片卑
派,水水
湃,水拜
潘,水番
攀,樊手
盘,舟皿
判,半刀
叛,半反
盼,目分
畔,田半
乓,兵
庞,广龙
旁,立方
螃,虫旁
胖,月半
抛,手九力
刨,包刀
咆,口包
炮,火包
袍,衣包
跑,足包
泡,水包
胚,月丕
陪,阜咅
培,土咅
赔,贝咅
沛,水巿
佩,人凡巾
配,酉己
喷,口贲
盆,分皿
砰,石平
烹,亨火
朋,朋
彭,壴彡
棚,木朋
硼,石朋
蓬,艹逢
鹏,朋鸟
澎,水彭
篷,竹逢
膨,月彭
捧,手奉
碰,石並
丕,不一
批,手比
坯,土丕
披,手皮
劈,辟刀
霹,雨辟
皮,又
疲,疒皮
啤,口卑
脾,月卑
匹,匚八
屁,尸比
僻,人辟
譬,辟言
片,片
偏,人扁
篇,竹扁
翩,扁羽
骗,马扁
漂,水票
飘,票风
瓢,票瓜
票,西示
撇,手敝
拼,手并
贫,分贝
频,步页
品,口
聘,耳甹
乒,兵
甹,由丂
平,于八
评,言平
凭,任几
坪,土平
苹,艹平
屏,尸并
瓶,并瓦
萍,水苹
坡,土皮
泼,水发
颇,皮页
婆,波女
迫,辶白
破,石皮
