除了...以外	chúle...yǐwài 	in addition to; besides [conj]
电脑[電腦]	diànnǎo	computer [n]
音乐会[音樂會]	yīnyuèhuì	concert [n]
餐厅[餐廳]	cāntīng	dining room, cafeteria [n]
//Integrated Chinese L1 Ch9
一共	yígòng	altogether [adv]
一样[一樣]	yíyàng	same; alike [adj]
上衣	shàngyī	upper garment [n]
不用	búyòng	not [need]
不过[不過]	búguò	however; but [conj]
中	zhōng	medium; middle [adj]
付钱[付錢]	fù qián	to pay money [vo]
件	jiàn	measure word for shirts, dresses, jackets, coats, etc.
便宜	piányi	cheap; inexpensive [adj]
信用卡	xìnyòngkǎ	credit card [n]
再	zài	again [adv]
分	fēn	measure word for 1/100 of a kuai, cent
刷卡	shuā kǎ	to pay with a credit card [vo]
合适[合適]	héshì	suitable [adj]
咖啡色	kāfēisè	brown; coffee color [n]
售货员[售貨員]	shòuhuòyuán	shop assistant; salesclerk [n]
商店	shāngdiàn	store; shop [n]
块[塊]	kuài	measure word for the basic Chinese monetary unit
外套	wàitào	outer garment; coat; jacket [n]
多少	duōshao	how much/many [qpr]
大小	dàxiǎo	size [n]
大衣	dàyī	overcoat [n]
夹克[夾克]	jiákè	jacket [n]
如果⋯的话[如果⋯的話]	rúguǒ…	huà conj if [de]
它	tā	it [pr]
帽子	màozi	hat; cap [n]
找（钱）[找（錢）]	zhǎo (qián)	to give change [v(o)]
挺	tǐng	very; rather [adv]
换[換]	huàn	to exchange; to change [v]
收	shōu	to receive; to accept [v]
东西[東西]	dōngxi	things; objects [n]
条[條]	tiáo	measure word for pants and long, thin objects
样子[樣子]	yàngzi	style [n]
橘红色[橘紅色]	júhóngsè	orange (color) [n]
毛衣	máoyī	woolen sweater [n]
毛	máo	measure word for 1/10 of a kuai, dime (for US money)
灰色	huīsè	gray [n]
百	bǎi	hundred [nu]
种[種]	zhǒng	measure word for kinds, sorts, types
穿	chuān	to wear; to put on [v]
粉红色[粉紅色]	fěnhóngsè	pink [n]
红[紅]	hóng	red [adj]
紫色	zǐsè	purple [n]
号[號]	hào	size [n]
衣服	yīfu	clothes [n]
裙子	qúnzi	skirt [n]
裤子[褲子]	kùzi	pants [n]
袜子[襪子]	wàzi	socks [n]
衬衫[襯衫]	chènshān	shirt [n]
西装[西裝]	xīzhuāng	(western-style) suit [n]
试[試]	shì	to try [v]
买[買]	mǎi	to buy [v]
这儿[這兒]	zhèr	here [pr]
钱[錢]	qián	money [n]
长短[長短]	chángduǎn	length [n]
虽然[雖然]	suīrán	although [conj]
双[雙]	shuāng	measure word for a pair
鞋	xié	shoes [n]
颜色[顏色]	yánsè	color [n]
黄[黃]	huáng	yellow [adj]
黑	hēi	black [adj]
T恤衫	T-xùshān	T-shirt [n]
//Integrated Chinese L1 Ch10
下车[下車]	xià chē	to get off (a bus, train, etc.) [vo]
不好意思	bù hǎoyìsi	feel embarrassed [to]
先	xiān	first [adv]
公共汽车[公共汽車]	gōnggòng qìchē	bus [n]
出租汽車	chūzū qìchē	taxi [n]
地铁[地鐵]	dìtiě	subway [n]
坐船	zuò chuán	to travel by ship; to take a boat [vo]
坐	zuò	to travel by [v]
城市	chéngshì	city [n]
寒假	hánjià	winter vacation [n]
快乐[快樂]	kuàilè	happy [adj]
或者	huòzhě	or [conj]
手机[手機]	shǒujī	cell phone [n]
打车[打車]	dǎ chē	to take a taxi [vo]
新年	xīnnián	new year [n]
最后[最後]	zuìhòu	final; last
每	měi	every; each [pr]
然后[然後]	ránhòu	then [adv]
特别[特別]	tèbié	especially [adv]
发短信[發短信]	fā duǎnxìn	to send a text message; (lit.) to send a short message [vo]
票	piào	ticket [n]
站	zhàn	measure word for stops of bus, train, etc.
绿[綠]	lǜ	green [adj]
紧张[緊張]	jǐnzhāng	nervous, anxious [adj]
线[線]	xiàn	line [n]
自己	zìjǐ	oneself [pr]
花	huā	to spend [v]
蓝[藍]	lán	blue [adj]
让[讓]	ràng	to allow or cause (somebody to do something) [v]
走路	zǒu lù	to walk [vo]
走	zǒu	to go by way of; to walk [v]
送	sòng	to see off or out; to take (someone somewhere) [v]
开车[開車]	kāi chē	to drive a car [vo]
电子邮件[電子郵件]	diànzǐ yóujiàn	email [n]
飞机[飛機]	fēijī	airplane [n]
骑摩托车[騎摩托車]	qí mótuōchē	to ride a motorcycle [vo]
骑自行车[騎自行車]	qí zìxíngchē	to ride a bicycle [vo]
高速公路	gāosù gōnglù	highway [n]
麻烦[麻煩]	máfan	troublesome [adj]
飞机场[(飛)機場]	(fēi)jīchǎng	airport [n]
